Codigo ,Proceso,Responsable,Tipo de hallazgo,Fuente,Descripcion,Fecha reporte,Fecha cierre ultima acción,AccionesPlanteadas
GG,Gerencia General,,C,Interna,"1.NC. 6,1 Acciones para abordar riesgos y oportunidades. Durante la auditoria interna no se evidencia en los documentos: Mapa de Riesgos y Controles Institucionales AM-R-025 y Plan Anticorrupción y Atención al ciudadano GG-PP-005, la identificación de riesgos y oportunidades para el proceso.",2022-10-07,2022-12-31,2
GG,Gerencia General,,C,Interna,"2,NC 9,1,3 Análisis y Evaluación. Durante la auditoria interna se evidencia que el proceso no cuenta con indicadores de gestión, lo cual no permite analizar y evaluar los datos y la información apropiados que surgen por el seguimiento y la medición.",2022-10-07,2022-12-31,2
GG,Gerencia General,,C,Interna,"3,NC 8,4 Control de los procesos, productos y servicios suministrados externamente. Se evidencio que no cumplen con lo establecido en el procedimiento inscripción, selección y evaluación de proveedores y/o proponentes (cuadro en Excel) , así como también no se evidencia para la actividad Reporte de Desempeño a los contratistas mediante una comunicación interna al mismo.",2022-10-07,2022-12-31,2
GG,Gerencia General,,C,Interna,"4,NC 4,2, Comprensión de las necesidades y expectativas de las partes interesadas a través del formato GG-R-014, el cual tiene establecido la empresa para determinarlas.",2022-10-07,2022-12-31,2
GTAR,Gestión Tratamiento Aguas Residuales,,C,Externa,Se tiene proyectado plan de contingencia en caso de corte de energía en la planta de tratamiento de aguas residuales PTAR y este no es acorde con los equipos disponibles,2018-01-29,2018-08-30,5
GTAR,Gestión Tratamiento Aguas Residuales,,C,Interna,"El laboratorio de ensayo de calidad de agua residual de la PTAR LA MARINA, ha identificado que en los ensayos de solidos suspendidos totales SST y demanda química de oxigeno DQO, exceden lo establecido en la resolución 631 de 2015, (SST 90 mg/L y DQO 180 mg/L ), en las aguas de salida de PTAR LA MARINA, con esta información se ha consolidado 97 Trabajos no conformes TNC para el 2020, “Reporte y Gestión del Producto, Servicio y/o Trabajo No Conforme” Código AM-R-010,",2020-12-15,2022-12-31,8
GCT,Gestión Captación y Tratamiento,,C,Interna,"N.C 1. El proceso no asegura que la información documentada se revise, actualice y controle con respecto a la conveniencia, adecuación y uso, NTC- ISO 9001:2015 Numerales 7,5,2 y 7,5,2; AM-P-001 Procedimiento Control de Documentos, actividades ""Control Actualización de Documentos"".
 Evidencias:
 No se evidencia la revisión periódica del Sistema de Gestión de Calidad conforme lo establece el procedimiento AM-P-001.",2022-09-06,2023-01-30,6
GCP,Gestión Control Pérdidas,,C,Interna,Incumplimiento a la meta de reducción del IANC para el mes de marzo de 2016,2016-04-01,2016-12-31,2
GCP,Gestión Control Pérdidas,,C,Interna,Índice de perdidas por suscriptor Facturado por fuera de la meta establecida,2017-07-21,2018-12-31,2
GCP,Gestión Control Pérdidas,,C,Interna,"Incumplimiento de las metas de los indicadores establecidos en el Plan de Acción vigencia 2018 ,% de cumplimiento en Instalación de medidores entregados por el laboratorio de Calibración de Medidores calibrados( después de retiro de medidores y envío a laboratorio para calibración)",2019-01-15,2019-12-30,7
GCP,Gestión Control Pérdidas,,C,Interna,"6.1.1 Al planificar el sistema de gestión de la calidad, la organización debe considerar las cuestiones referidas en el apartado 4.1 (comprensión de la organización y de su contexto) y los requisitos referidos en el apartado 4.2 ( Comprensión de las necesidades y expectativas de las partes interesadas), y determinar los riesgos y oportunidades que es necesario abordar con el fin de .......
 
 Evidencias: No se logró evidenciar que los riesgos identificados en el contexto y partes interesadas son tratados como riesgos.
 Mapa de Riesgos y Controles Institucional AM-R-025 Fecha Actualización 21-08-09
 Evaluación del Contexto Empresas Publicas de Armenia ESP Código: GG-R-009 
 Partes interesadas GG-R-0014",2022-02-21,2022-12-31,4
GCP,Gestión Control Pérdidas,,C,Interna,"9.1.3 Numeral 9.1.3 La organización debe analizar y evaluar los datos y la información apropiados que surgen por el seguimiento y la medición.
 Los resultados del análisis deben utilizarse para evaluar: 
 d) Si lo planificado se ha implementado de forma eficaz
 g) La necesidad de mejoras en el sistema de la gestión de la calidad.
 
 Evidencia: Incumplimiento reiterativo en los indicadores vigencia 2021, no se logro evidenciar la eficacia de las acciones correctivas planteadas: 
 
 CIM: Meta 8400 medidores instalados anualmente, cada trimestre se estableció un cumplimiento así: I Trimestre 10% II- III Trimestre 35 % IV Trimestre 20%. I trimestre 115% II Trimestre 52,52% Se registra incumplimiento para el segundo trimestre por lo que se plantea acción correctiva con fecha de culminación de 30-09-2021.
 
 IMR: la meta del indicador por norma es ≥95% el cual no se ha cumplido para la presente vigencia. I trimestre 93,96% II Trimestre 93,95% se plantea acción correctiva con fecha de culminación de 30-09-2021",2022-02-21,2022-12-31,4
GCP,Gestión Control Pérdidas,,C,Interna,"IME: la meta es ≥95% para el ITrimestre 91,85% II Trimestre 91,62% se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 CRM: la meta son 2200 medidores retirados, para cada trimestre se estableció un cumplimiento así: I Trimestre 10% II- III Trimestre 35 % IVTrimestre 20% Resultados ITrimestre 130% II Trimestre Resultados ITrimestre 130% IITrimestre 26,88% se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 IANC: la meta es ≤ 30% el cumplimiento del ITrimestre es de 38,32% el IITrimestre 36,91% Se plantea acción correctiva con fecha de culminación de 30-09-2021
 
 IPUF: la meta es 6,5765 m³/suscriptor el resultado del primer trimestre es de 7,21 m³/suscriptor IITrimestre 6.8 m³/suscriptor. Se plantea acción correctiva con fecha de culminación de 30-09-2021",2022-02-21,2022-12-31,4
GCP,Gestión Control Pérdidas,,C,Interna,"8,1 Planificación y Control Operacional. La organización debe planificar, Implementar y controlar los procesos necesarios para cumplir requisitos para la provisión de productos y servicios y para Implementar las acciones determinadas en el capitulo 6.mediante literal d) Implementación del control de los procesos de acuerdo con los criterios.
 durante la revisión de las actividades de la caracterización Auditoria de perdidas técnicas y Auditoria de pérdidas no técnicas, no se pudo verificar la ejecución de estas actividades ni las salidas establecidas informes de auditoria. Sin embargo, se pudo evidenciar la ejecución de otras actividades que apuntan al cumplimiento del objetivo del proceso.",2022-12-20,2023-12-31,3
GCP,Gestión Control Pérdidas,,C,Interna,"7,1,5,2 Trazabilidad de la mediciones,
 Al revisar el documento Plan de Verificación, mantenimiento y calibración de equipos GCP-PP-001 vigencia 2021-2022, se evidencia programación de verificación para el equipo topo diaria y para el equipo geófono verificación mensual, al revisar las hojas de vida de ambos equipos, se evidencia que no se esta dando cumplimiento a la frecuencia allí establecida.",2022-12-20,2023-12-31,3
GA,Gestión Aseo,,C,Interna,"10,2 No Conformidad y Acción Correctiva literal d) revisar la eficacia de cualquier acción correctiva tomada. Al revisar le indicador de la actividad de corte y poda de césped ""servicio de corte y poda"" se identifica su incumplimiento para los meses de enero, febrero, mayo,junio,julio; el proceso presenta una acción correctiva que ha sido elaborada a inicios del año 2022 con un plan de acción a implementar, sin embargo durante la auditoria se evidencia que estas acciones no han sido eficaces para eliminar la causa raíz de la no conformidad manifestada por le personal del proceso.",2022-10-01,2023-12-31,4
GRTAR,Gestión Recolección y Transporte,,C,Interna,"NC 1. EL proceso no asegura que la información documentada se revise, actualice y controle con respecto a la conveniencia adecuación y uso. NTC ISO 9001: 2015 Numerales 7,5,2 y 7,5,3; AM-P-001 Procedimiento Control de Documentos, actividades ""Control Actualización de Documentos"" y ""Obligatoriedad de diligenciamiento de los campos de los registros"".
 Evidencias:
 No se evidencia el control periódico de documentos externos ni la revisión periódica del Sistema de Gestión de Calidad.
 Se evidencio el uso de un formato obsoleto GRTAR-R-015 Orden de Visita Técnica V06 22-03-03, diligenciado el 22-09-16 en Versión 6 cuando la versión 7 se normalizó desde el 2022-03-31, Se evidencian más formatos obsoletos diligenciados en el mes de abril.",2022-10-03,2023-08-31,6
GPT,Gestión Planeación Técnica,,C,Interna,No se evidencia seguimiento de la información relativa a la percepción del cliente respecto al cumplimiento de sus requisitos por parte del proceso.,2014-01-30,2014-06-30,2
GPT,Gestión Planeación Técnica,,C,Interna,"Al indagar por el cumplimiento del requisito de Diseño Y Desarrollo de los Servicios de Acueducto y alcantarillado. Aseo se evidencio en el Proyecto denominado Traslado de las Líneas Expresa de Occidente(Sector Macana) que:*Entre las entradas para el diseño no se tiene en cuenta las disponibilidades del Servicio de Acueducto existente en el proceso que puede generar un cambio en el diámetro se material, etc., de la Tuberia.*No se evidencia los controles de diseño y desarrollo, Revisiones ,Verificación, Validación,*No se evidencias los controles ejercidos por Gestión Planeación Técnica de los cambios en el Diseño y Desarrollo.",2018-03-09,2018-12-31,4
GPT,Gestión Planeación Técnica,,C,Interna,"Teniendo en cuenta el objetivo del Proceso el cual dice ""Orientaren Forma Eficaz los Planes y Programas para El Desarrollo Técnico y Ambiental de los Servicios Públicos Domiciliarios de Acueducto, Alcantarillado, Aseo. En el Municipio de Armenia, se pregunto por la Actualización y Socialización del Plan Maestro de Acueducto y Alcantarillado (PMAA) como Fuente Esencial para su alcance nos e evidencio avance para la vigencia del 2017.",2018-02-09,2018-04-20,4
GPT,Gestión Planeación Técnica,,C,Interna,"Al solicitar la Hoja de Vida, el instructivo de trabajo para la Estación de Topográfica PENTAX W825-NX,Relacionado en el plan de Verificación, Mantenimiento y Calibración de Equipo GPT-PP-003, Se Evidencio que este Equipo fue comprado para el momento en que se envié el Estación Total Pentax WB325-N a Ejecutar Mantenimiento y /o Calibración, hace aproximadamente 3 años, pero no se ha utilizado por falta de un manual de manejo.",2018-03-09,2018-12-31,3
GPT,Gestión Planeación Técnica,,C,Interna,No se dio cumplimiento a la meta de 25 días establecida para medir la oportunidad la expedición de la disponibilidades de los servicios de Acueducto y Alcantarillado a partir del momento de recepción de la solicitud.,2018-03-13,2018-12-31,4
